author_name,appears_in,affiliation,author_id
Chongyi Li,W3214264009;W4386065632;W3167388770;W3135519341,Nanyang Technological University,https://openalex.org/A5034122071
Chunle Guo,W3214264009;W4386065632;W3167388770;W3135519341,Nankai University,https://openalex.org/A5086639598
Ling-Hao Han,W3214264009;W4386065632;W3167388770,Nankai University,https://openalex.org/A5038127444
Jun Jiang,W3214264009;W3167388770,,https://openalex.org/A5101678888
Ming‐Ming Cheng,W3214264009;W3167388770,Nankai University,https://openalex.org/A5037131575
Jinwei Gu,W3214264009;W3167388770,,https://openalex.org/A5100370029
Chen Change Loy,W3214264009;W3167388770;W3135519341,Nanyang Technological University,https://openalex.org/A5005626854
Yufei Wang,W3199334903,Nanyang Technological University,https://openalex.org/A5100374829
Renjie Wan,W3199334903,Hong Kong Baptist University,https://openalex.org/A5085201191
Wenhan Yang,W3199334903;W3119525307;W3134765225;W3093427603;W4399870603,Nanyang Technological University,https://openalex.org/A5070884682
Haoliang Li,W3199334903,City University of Hong Kong,https://openalex.org/A5040091210
Lap‐Pui Chau,W3199334903,Nanyang Technological University,https://openalex.org/A5044722301
Alex C. Kot,W3199334903,Nanyang Technological University,https://openalex.org/A5080977911
Wencheng Wang,W3022336857,Weifang University,https://openalex.org/A5100603827
Xiaojin Wu,W3022336857,Weifang University,https://openalex.org/A5102971201
Xiaohui Yuan,W3022336857,University of North Texas,https://openalex.org/A5021355100
Zairui Gao,W3022336857,Weifang University,https://openalex.org/A5006988179
Zhenqi Fu,W4386066362,Xiamen University,https://openalex.org/A5002531550
Yang Yan,W4386066362,Hangzhou Dianzi University,https://openalex.org/A5100318832
Xiaotong Tu,W4386066362,Xiamen University,https://openalex.org/A5068316504
Yue Huang,W4386066362,Xiamen University,https://openalex.org/A5100772804
Xinghao Ding,W4386066362,Xiamen University,https://openalex.org/A5052820597
Kai‐Kuang Ma,W4386066362,Nanyang Technological University,https://openalex.org/A5059248438
Jiaying Liu,W3119525307;W3134765225;W3093427603,Peking University,https://openalex.org/A5100761525
Dejia Xu,W3119525307,Peking University,https://openalex.org/A5084521327
Minhao Fan,W3119525307;W3093427603,Peking University,https://openalex.org/A5028107736
Haofeng Huang,W3119525307,Peking University,https://openalex.org/A5028420385
Feifan Lv,W3161732772;W2997694100;W3012119911;W3023129636,Beihang University,https://openalex.org/A5070644322
Yu Li,W3161732772;W3182700213,Tencent (China),https://openalex.org/A5100345915
Feng Lu,W3161732772;W3035155487;W2997694100;W3012119911;W3023129636;W3209186471,Peng Cheng Laboratory,https://openalex.org/A5050527785
Chen Chen,W2986422266;W3193296307;W3112479442;W3174605894,International University of the Caribbean,https://openalex.org/A5100418568
Qifeng Chen,W2986422266,Hong Kong University of Science and Technology,https://openalex.org/A5100719529
N. Minh,W2986422266,International University of the Caribbean,https://openalex.org/A5005908865
Vladlen Koltun,W2986422266,Intel (United States),https://openalex.org/A5006181255
Li-Wen Wang,W3042993386,Hong Kong Polytechnic University,https://openalex.org/A5058743591
Zhi-Song Liu,W3042993386;W3163792967,Hong Kong Polytechnic University,https://openalex.org/A5101923745
Wan-Chi Siu,W3042993386;W3163792967,Hong Kong Polytechnic University,https://openalex.org/A5083042979
Daniel Pak-Kong Lun,W3042993386;W3163792967,Hong Kong Polytechnic University,https://openalex.org/A5045479823
Anqi Zhu,W3034895805,Tongji University,https://openalex.org/A5101964823
