name,author_ids,n_citing_papers,affiliations,sample_papers
Wenhan Yang,1898172;2274269967,12,,Seeing in the Dark with Ambient Guidance ;; Interpretable Optimization-Inspired Unfolding Network for Lo ;; Unrolled Decomposed Unpaired Learning for Controllable Low-L
Risheng Liu,2237951125;34469457,9,,SNRD-Net: SNR-aware dual enhancement network for low-light i ;; DEAL: Data-Efficient Adversarial Learning for High-Quality I ;; Fearless Luminance Adaptation: A Macro-Micro-Hierarchical Tr
Yu Guo,2143378699;2310688922,9,,OneRestore: A Universal Restoration Framework for Composite  ;; AiOENet: All-in-One Low-Visibility Enhancement to Improve Vi ;; Double Domain Guided Real-Time Low-Light Image Enhancement f
Yuxu Lu,121713030,9,,OneRestore: A Universal Restoration Framework for Composite  ;; AiOENet: All-in-One Low-Visibility Enhancement to Improve Vi ;; Rep-Enhancer: Re-parameterizing Neural Network for Real-time
Feng Lu,1388864077;2151233362;2279610393,9,,Visibility Enhancement for Low-light Hazy Scenarios ;; Optical Flow in the Dark ;; Separating Content and Style for Unsupervised Image-to-Image
Long Ma,1732160;2331460441;2340912932,8,,SNRD-Net: SNR-aware dual enhancement network for low-light i ;; DEAL: Data-Efficient Adversarial Learning for High-Quality I ;; Crossing the Chasm: A practical architecture augmentation fo
Yinqiang Zheng,2037259;2242543861;2247926612,7,,Moment-Reenacting: Inverse Motion Degradation with Cross-shu ;; Motion Blur Decomposition with Cross-shutter Guidance ;; Optimal LED Spectral Multiplexing for NIR2RGB Translation
Bo Zhang,2141897317;2155611061;2208118873;2208122861;2426012373,7,,NTIRE 2026 The 3rd Restore Any Image Model (RAIM) Challenge: ;; An adaptive weight fusion low-light image enhancement based  ;; Generative Diffusion Prior for Unified Image Restoration and
Wenqi Ren,144850642;2053308882;2260700948;2265263152;2276950332,7,,SGNet: Style-Guided Network With Temporal Compensation for U ;; DI-Retinex: Digital-Imaging Retinex Model for Low-Light Imag ;; DI-Retinex: Digital-Imaging Retinex Theory for Low-Light Ima
Xiaofang Hu,2289192561;47027727,7,,Learning Structural Priors via Laplacian RWKV Diffusion with ;; Memristive Bi-Path Wavelet Transformer for low-light image e ;; MA-MNN: Multi-flow attentive memristive neural network for m
Yue Zhou,2116451313,7,,Learning Structural Priors via Laplacian RWKV Diffusion with ;; Memristive Bi-Path Wavelet Transformer for low-light image e ;; MA-MNN: Multi-flow attentive memristive neural network for m
Shiqi Wang,2279744514;2283201042;2303523184;2372435169,7,,Exploiting Long and Short Temporal Dependence for Low-Light  ;; RCNet: Deep Recurrent Collaborative Network for Multi-View L ;; Unrolled Decomposed Unpaired Learning for Controllable Low-L
Jinjiang Li,2555126,7,,Multi-Frequency Field Perception and Sparse Progressive Netw ;; Multi-scale dynamic fusion for correcting uneven illuminatio ;; Attention-based multi-channel feature fusion enhancement net
Chongyi Li,2185949399;2237956540;2698424,7,,Empowering Low-Light Image Enhancer through Customized Learn ;; DNF: Decouple and Feedback Network for Seeing in the Dark ;; LEDNet: Joint Low-light Enhancement and Deblurring in the Da
Dirui Xie,2211254189,6,,Learning Structural Priors via Laplacian RWKV Diffusion with ;; Memristive Bi-Path Wavelet Transformer for low-light image e ;; Reffusion: Enhancement Conditional Diffusion Framework with 
Xiaoyan Chen,2143799176;2143799959;2315445463,6,,Unsupervised detail and color restorer for Retinex-based low ;; A hybrid framework for curve estimation based low light imag ;; Low-light image enhancement via adaptive frequency decomposi
Xiaohong Liu,2211737291;2311271429,6,,GLARE: Low Light Image Enhancement via Generative Latent Fea ;; Light-VQA+: A Video Quality Assessment Model for Exposure Co ;; FastLLVE: Real-Time Low-Light Video Enhancement with Intensi
Guangtao Zhai,144826390;2266393212,6,,GLARE: Low Light Image Enhancement via Generative Latent Fea ;; Light-VQA+: A Video Quality Assessment Model for Exposure Co ;; NTIRE 2023 Quality Assessment of Video Enhancement Challenge
Ryan Wen Liu,2124017717;2202013693;2268299485;2364546752,6,,OneRestore: A Universal Restoration Framework for Composite  ;; AiOENet: All-in-One Low-Visibility Enhancement to Improve Vi ;; Rep-Enhancer: Re-parameterizing Neural Network for Real-time
Ziteng Cui,2152101108,6,,Aleth-NeRF: Illumination Adaptive NeRF with Concealing Field ;; Aleth-NeRF: Low-light Condition View Synthesis with Conceali ;; You Only Need 90K Parameters to Adapt Light: a Light Weight 
Lin Gu,151484085;2261518797;2290494499,6,,Aleth-NeRF: Illumination Adaptive NeRF with Concealing Field ;; Aleth-NeRF: Low-light Condition View Synthesis with Conceali ;; You Only Need 90K Parameters to Adapt Light: a Light Weight 
Jie Huang,2110284557,6,,Empowering Low-Light Image Enhancer through Customized Learn ;; Structure- and Texture-Aware Learning for Low-Light Image En ;; Low-Light Stereo Image Enhancement
Zhen Hua,144278699,6,,Attention-based multi-channel feature fusion enhancement net ;; Attention-Guided Multi-Scale Feature Fusion Network for Low- ;; FLA-Net: multi-stage modular network for low-light image enh
Jiaying Liu,2239051902;41127426,5,,Seeing in the Dark with Ambient Guidance ;; Towards Low Light Enhancement With RAW Images ;; Band Representation-Based Semi-Supervised Low-Light Image En
R. Timofte,1732855,5,,Low Light Image Enhancement Challenge at NTIRE 2026 ;; NTIRE 2026 The 3rd Restore Any Image Model (RAIM) Challenge: ;; NTIRE 2025 Challenge on UGC Video Enhancement: Methods and R
Erkut Erdem,152330322,5,,EeveeDark: A Binary Neural Framework for Low-Light Video Enh ;; Self-Supervised Low-Light Hyperspectral Image Enhancement vi ;; HUE Dataset: High-Resolution Event and Frame Sequences for L
Aykut Erdem,14364286;2253752451,5,,EeveeDark: A Binary Neural Framework for Low-Light Video Enh ;; Self-Supervised Low-Light Hyperspectral Image Enhancement vi ;; HUE Dataset: High-Resolution Event and Frame Sequences for L
Xiaogang Xu,2027354611;2276483420;2373442317,5,,Low-Light Video Enhancement with An Effective Spatial-Tempor ;; Low-Light Video Enhancement via Spatial-Temporal Consistent  ;; Deep Parametric 3D Filters for Joint Video Denoising and Ill
Ruixing Wang,2108666491;2303302229,5,,Low-Light Video Enhancement with An Effective Spatial-Tempor ;; Low-Light Video Enhancement via Spatial-Temporal Consistent  ;; Deep Parametric 3D Filters for Joint Video Denoising and Ill
Wei Chen,2154940576;2154942699;2283009;2329164441,5,,Task-Decoupled Bézier Surface Constraint for Uneven Low-Ligh ;; CLIP-Optimized Multimodal Image Enhancement via ISP-CNN Fusi ;; Wakeup-Darkness: When Multimodal Meets Unsupervised Low-Ligh
Huiyuan Fu,2513605,5,,Rethinking the Low-Light Video Enhancement: Benchmark Datase ;; Exploring in Extremely Dark: Low-Light Video Enhancement wit ;; Learning Exposure Correction in Dynamic Scenes
Huadong Ma,144258295;2248034542;2263653397,5,,Rethinking the Low-Light Video Enhancement: Benchmark Datase ;; Exploring in Extremely Dark: Low-Light Video Enhancement wit ;; Learning Exposure Correction in Dynamic Scenes
Lingyu Zhu,2281724124,5,,Unsupervised Ultra-High-Resolution UAV Low-Light Image Enhan ;; Exploiting Long and Short Temporal Dependence for Low-Light  ;; RCNet: Deep Recurrent Collaborative Network for Multi-View L
Shukai Duan,2159433014;2269227618,5,,MA-MNN: Multi-flow attentive memristive neural network for m ;; Reffusion: Enhancement Conditional Diffusion Framework with  ;; A Global Self-Attention Memristive Neural Network for Image 
R. Soundararajan,2510315,5,,UnDIVE: Generalized Underwater Video Enhancement Using Gener ;; Semi-Supervised Learning for Low-light Image Restoration thr ;; Low Light Video Enhancement by Learning on Static Videos wit
Man Zhou,2121684731;2272766397,5,,Image Light Enhancement Model Based on Illuminance- Diffusio ;; Empowering Low-Light Image Enhancer through Customized Learn ;; Structure- and Texture-Aware Learning for Low-Light Image En
Fengmei Zhao,2152335165,5,,Empowering Low-Light Image Enhancer through Customized Learn ;; Structure- and Texture-Aware Learning for Low-Light Image En ;; Low-Light Stereo Image Enhancement
Chunle Guo,18158517,5,,DNF: Decouple and Feedback Network for Seeing in the Dark ;; Low-Light Image and Video Enhancement Using Deep Learning: A ;; Learning to Enhance Low-Light Image via Zero-Reference Deep 
Feifan Lv,51290122,5,,Fast Enhancement for Non-Uniform Illumination Images using L ;; An Integrated Enhancement Solution for 24-hour Colorful Imag ;; Attention Guided Low-Light Image Enhancement with a Large Sc
Heng Zhang,2271866730;40940525,4,,ViD-EnlightenGAN: A Temporally Aware GAN for Unsupervised Lo ;; Rethinking the Low-Light Video Enhancement: Benchmark Datase ;; Exploring in Extremely Dark: Low-Light Video Enhancement wit
Jin Chen,2108458965;2108461272;2303900987,4,,Integration of KAN with an enhanced multi-scale mamba archit ;; DED-net: multi-scale fusion and illumination-guided enhancem ;; A Semi-Supervised Network Framework for low-light image enha
Fan Zhang,2153304421;2153307863;2265620853;2346987783,4,,Deep multi-patch hierarchical network for coal-mine roller t ;; RMT-BVQA: Recurrent Memory Transformer-based Blind Video Qua ;; Learning Temporal Consistency for Low Light Video Enhancemen
Xueyang Fu,2273893743;3061449,4,,Event-Illumination Collaborative Low-light Image Enhancement ;; Illumination-Invariant Person Re-Identification ;; Low-Light Stereo Image Enhancement
Bin Li,2185910798;2212052721;2326047051,4,,A two-stage low-light image enhancement network combining sp ;; Low-Light Scene Text Image Enhancement in the Wild ;; MDFF-Net: Multi-level Dynamic Feature Fusion Network Combine
Lei Zhang,2152827674;2256830888;2286036173;2290620461,4,,NTIRE 2026 The 3rd Restore Any Image Model (RAIM) Challenge: ;; Enhancing low-light image quality: a multi-granularity memor ;; DCENet-based low-light image enhancement improved by spiking
Yang Yang,2152915963;2242793598;2322063612;2365327194,4,,NTIRE 2026 The 3rd Restore Any Image Model (RAIM) Challenge: ;; Multi-sparsity isotropic gradient regularization for edge-pr ;; Nighttime Driving Fatigue Detection Based on Improved Zero-D
Wenchao Li,2265521694,4,,Context-based low-light image enhancement via multiscale neu ;; ZERRIN-Net: Adaptive low-light image enhancement using Retin ;; An unsupervised low-light video enhancement network based on
Shuyuan Wen,2265494825,4,,Context-based low-light image enhancement via multiscale neu ;; ZERRIN-Net: Adaptive low-light image enhancement using Retin ;; An unsupervised low-light video enhancement network based on
Jun Li,2265939036;2298349023;2330228278;2334862594,4,,AIE-Net: Adaptive Illumination Estimation for Low-Light Imag ;; DFCNet: Dual-Stage Frequency-Domain Calibration Network for  ;; Daytime-Mixed Non-Aligned Learning for Real Nighttime Image 
Hufsa Khan,2147395983,4,,Illuminating the darkness: experimental review of cutting-ed ;; Advancing low-light image enhancement through deep learning: ;; A comprehensive experiment-based review of low-light image e
Yutao Jin,2154182385;2308842803,4,,Unsupervised detail and color restorer for Retinex-based low ;; A hybrid framework for curve estimation based low light imag ;; Low-light image enhancement via adaptive frequency decomposi
Qingming Huang,1689702;2237597856,4,,Adaptive Multi-Exposure Image Correction via Joint Lightness ;; Unsupervised Low-Light Image Enhancement via Luminance Mask  ;; Unsupervised Low-Light Video Enhancement With Spatial-Tempor
Mingwen Shao,2237783247;2350666331,4,,Pool-mamba: Pooling state space model for low-light image en ;; Degradation-Guided cross-consistent deep unfolding network f ;; Multi-Domain Multi-Scale Diffusion Model for Low-Light Image
Zhigang Tu,2061178292;2352932765,4,,DED-net: multi-scale fusion and illumination-guided enhancem ;; OwlSight: A Robust Illumination Adaptation Framework for Dar ;; Dark-DSAR: Lightweight one-step pipeline for action recognit
Jinyuan Liu,2108510456;2293559619,4,,DEAL: Data-Efficient Adversarial Learning for High-Quality I ;; Enhancing Neural Radiance Fields with Adaptive Multi-Exposur ;; Holistic Dynamic Frequency Transformer for Image Fusion and 
A. Bhandari,2019243,4,,A Review on Computational Low-Light Image Enhancement Models ;; Low light image enhancement using reflection model and wavel ;; Laplacian and gaussian pyramid based multiscale fusion for n
Xiaofeng Zhang,2144525229;2257953748;2328309571,4,,Wakeup-Darkness: When Multimodal Meets Unsupervised Low-Ligh ;; Retinexmamba: Retinex-based Mamba for Low-light Image Enhanc ;; Enlighten-Your-Voice: When Multimodal Meets Zero-shot Low-li
Hao Tang,145462888;2275194660,4,,Wakeup-Darkness: When Multimodal Meets Unsupervised Low-Ligh ;; Enlighten-Your-Voice: When Multimodal Meets Zero-shot Low-li ;; Enlighten-Anything: When Segment Anything Model Meets Low-Li
He Xiao,2114210605,4,,Reffusion: Enhancement Conditional Diffusion Framework with  ;; A Global Self-Attention Memristive Neural Network for Image  ;; Neuromorphic Vision Restoration Network for Advanced Driver 
Kui Jiang,2237233392;2301686249;51360637,4,,Image Enhancement via Associated Perturbation Removal and Te ;; Fragrant: frequency-auxiliary guided relational attention ne ;; Decomposition Makes Better Rain Removal: An Improved Attenti
Baoliang Chen,1919597217,4,,RCNet: Deep Recurrent Collaborative Network for Multi-View L ;; Unrolled Decomposed Unpaired Learning for Controllable Low-L ;; Temporally Consistent Enhancement of Low-Light Videos via Sp
Xiongkuo Min,2246414,4,,GLARE: Low Light Image Enhancement via Generative Latent Fea ;; NTIRE 2023 Quality Assessment of Video Enhancement Challenge ;; VDPVE: VQA Dataset for Perceptual Video Enhancement
Yuan Gao,2118635326;2118635997;2244143114,4,,OneRestore: A Universal Restoration Framework for Composite  ;; Double Domain Guided Real-Time Low-Light Image Enhancement f ;; Joint Contrast Enhancement and Noise Suppression of Low-ligh
