citing_paper_id,doi,title,year,venue,cites,authors_raw,authors_detail
e0ec3e2eaf2c091fcc95f54749f2a1419c63263e,10.1109/icip61757.2026.11630294,SPIM-FUSE: Sparsely-Coded Image Fusion for Low-Light Enhancement,2026,International Conference on Information Photonics,0,Sena Yagmur Sen;Gazihan Alankus;Mehmet Turkan,"[{""author"":{""id"":""122478756"",""display_name"":""Sena Yagmur Sen""},""institutions"":[]},{""author"":{""id"":""2734839"",""display_name"":""Gazihan Alankus""},""institutions"":[]},{""author"":{""id"":""70031922"",""display_name"":""Mehmet Turkan""},""institutions"":[]}]"
ad8afccbec3dc798ec11eb2192307b3f77a47c8b,10.1109/JIOT.2026.3701729,ViD-EnlightenGAN: A Temporally Aware GAN for Unsupervised Low-Light Video Enhancement,2026,IEEE Internet of Things Journal,0,Heng Zhang;Yijie Xue;Yanli Liu;Yiwen Ye;Hao Jiang;Feng Shu;Zhimin Chen,"[{""author"":{""id"":""40940525"",""display_name"":""Heng Zhang""},""institutions"":[]},{""author"":{""id"":""100551091"",""display_name"":""Yijie Xue""},""institutions"":[]},{""author"":{""id"":""2108202965"",""display_name"":""Yanli Liu""},""institutions"":[]},{""author"":{""id"":""2170220899"",""display_name"":""Yiwen Ye""},""institutions"":[]},{""author"":{""id"":""2292414930"",""display_name"":""Hao Jiang""},""institutions"":[]},{""author"":{""id"":""2363573892"",""display_name"":""Feng Shu""},""institutions"":[]},{""author"":{""id"":""2111354272"",""display_name"":""Zhimin Chen""},""institutions"":[]}]"
2558070b1c2e5b9cf3a867d3a9d70eaa7f814062,,Bright-Channel Retinex Enhancement with a Conditional Overdispered-Noise Analysis,2026,,0,Jongpil Jeong,"[{""author"":{""id"":""2314526962"",""display_name"":""Jongpil Jeong""},""institutions"":[]}]"
d7665fb470327d388cbebbbbfb4143908445c2cd,,UBLLIE: Unified Backlight and Low-Light Image Enhancement,2026,,0,Yasmin Yasin;Muhammad Usman;Ibrahim Radwan;Saeed Anwar,"[{""author"":{""id"":""2237025751"",""display_name"":""Yasmin Yasin""},""institutions"":[]},{""author"":{""id"":""2223436301"",""display_name"":""Muhammad Usman""},""institutions"":[]},{""author"":{""id"":""2363859773"",""display_name"":""Ibrahim Radwan""},""institutions"":[]},{""author"":{""id"":""2297845544"",""display_name"":""Saeed Anwar""},""institutions"":[]}]"
94b12640c1ef5a6f3586a4529d1bb99a729eac58,10.1007/s44443-026-01095-6,UAV-LIENet: a low-light UAV image enhancement network via illumination estimation and guidance,2026,Journal of King Saud University: Computer and Information Sciences,0,Yueqing Kang;Ruitao Lu;Xiaogang Yang;Zhenhao Cheng;Zhanhong Zhuo;Jiwei Fan,"[{""author"":{""id"":""2457732225"",""display_name"":""Yueqing Kang""},""institutions"":[]},{""author"":{""id"":""2312758587"",""display_name"":""Ruitao Lu""},""institutions"":[]},{""author"":{""id"":""2275298208"",""display_name"":""Xiaogang Yang""},""institutions"":[]},{""author"":{""id"":""2152159726"",""display_name"":""Zhenhao Cheng""},""institutions"":[]},{""author"":{""id"":""2358272273"",""display_name"":""Zhanhong Zhuo""},""institutions"":[]},{""author"":{""id"":""3079153"",""display_name"":""Jiwei Fan""},""institutions"":[]}]"
12f83d029aa039d41c997f3e0ab52618fe17298b,10.3389/frai.2026.1858540,PSO-based parameter optimization of intuitionistic fuzzy generator for low-light image enhancement,2026,Frontiers in Artificial Intelligence,0,U. S.;J. S.,"[{""author"":{""id"":""2446810280"",""display_name"":""U. S.""},""institutions"":[]},{""author"":{""id"":""2438514864"",""display_name"":""J. S.""},""institutions"":[]}]"
0024e561025f20a598f477407646ec2bda40bdab,,Thresholded Cross-Attention for Reliable Intensity-Chromaticity Fusion in Low-Light Image Enhancement,2026,,0,Yanyi Wu;Xu Zhang;Junkai Chen;Laibin Chang;Jiaqi Ma;Shi Chen;Linwei Zhu;Jianglei Di;Huan Zhang,"[{""author"":{""id"":""2450169397"",""display_name"":""Yanyi Wu""},""institutions"":[]},{""author"":{""id"":""2309775557"",""display_name"":""Xu Zhang""},""institutions"":[]},{""author"":{""id"":""2450191207"",""display_name"":""Junkai Chen""},""institutions"":[]},{""author"":{""id"":""2121619327"",""display_name"":""Laibin Chang""},""institutions"":[]},{""author"":{""id"":""2386165627"",""display_name"":""Jiaqi Ma""},""institutions"":[]},{""author"":{""id"":""2352985671"",""display_name"":""Shi Chen""},""institutions"":[]},{""author"":{""id"":""1969075"",""display_name"":""Linwei Zhu""},""institutions"":[]},{""author"":{""id"":""2344127381"",""display_name"":""Jianglei Di""},""institutions"":[]},{""author"":{""id"":""2317142984"",""display_name"":""Huan Zhang""},""institutions"":[]}]"
2ac225ed6edb52c70ac924908af73695c47b7ef9,10.1109/TIP.2026.3709463,Probabilistic-Based Learning for Joint Light Field Image Compression and Enhancement Under Low-Light Conditions,2026,IEEE Transactions on Image Processing,0,Deyang Liu;Jimin Wang;Yifan Mao;Mounir Kaaniche;Xiaofei Zhou;Gangyi Jiang;Caifeng Shan,"[{""author"":{""id"":""2267870621"",""display_name"":""Deyang Liu""},""institutions"":[]},{""author"":{""id"":""2265361368"",""display_name"":""Jimin Wang""},""institutions"":[]},{""author"":{""id"":""2117694584"",""display_name"":""Yifan Mao""},""institutions"":[]},{""author"":{""id"":""2368358126"",""display_name"":""Mounir Kaaniche""},""institutions"":[]},{""author"":{""id"":""2142867508"",""display_name"":""Xiaofei Zhou""},""institutions"":[]},{""author"":{""id"":""2250176767"",""display_name"":""Gangyi Jiang""},""institutions"":[]},{""author"":{""id"":""2335875287"",""display_name"":""Caifeng Shan""},""institutions"":[]}]"
500ae7ee37662ef23a6ac4a9ba77340186a8b0cd,10.1016/j.neucom.2026.133613,Integration of KAN with an enhanced multi-scale mamba architecture for low-light image enhancement,2026,Neurocomputing,0,Jin Chen;Lei Wang;Yimei Zhang;Jintao Yu,"[{""author"":{""id"":""2108461272"",""display_name"":""Jin Chen""},""institutions"":[]},{""author"":{""id"":""2273651306"",""display_name"":""Lei Wang""},""institutions"":[]},{""author"":{""id"":""2408353005"",""display_name"":""Yimei Zhang""},""institutions"":[]},{""author"":{""id"":""2151482846"",""display_name"":""Jintao Yu""},""institutions"":[]}]"
fc0d6115c1d3e1806339eaef3b79cdac03d0e559,10.1016/j.knosys.2026.116205,Unleashing the potential of Mamba: A novel approach for low-light image enhancement,2026,Knowledge-Based Systems,2,Ge Wang;Yong Ma;Jun Huang;You Du;Fan Fan;Zhiqing Zhao;Yi Lu,"[{""author"":{""id"":""2296241759"",""display_name"":""Ge Wang""},""institutions"":[]},{""author"":{""id"":""2291680328"",""display_name"":""Yong Ma""},""institutions"":[]},{""author"":{""id"":""2118226234"",""display_name"":""Jun Huang""},""institutions"":[]},{""author"":{""id"":""2217235724"",""display_name"":""You Du""},""institutions"":[]},{""author"":{""id"":""40513331"",""display_name"":""Fan Fan""},""institutions"":[]},{""author"":{""id"":""2307016443"",""display_name"":""Zhiqing Zhao""},""institutions"":[]},{""author"":{""id"":""2398722320"",""display_name"":""Yi Lu""},""institutions"":[]}]"
