author_name,author_id,institution,h_index,citations,works_count,homepage,appears_in,source
L. Gool,1681236,,195,181641,1532,,1,s2
Xiaogang Wang,31843833,,132,104133,638,,1,s2
Chen Change Loy,1717179,,131,93932,341,,4,s2
V. Koltun,145231047,,114,90197,239,,1,s2
Jiaya Jia,1729056,,107,71375,278,,2,s2
W. Zuo,1724520,,104,66163,575,,2,s2
R. Timofte,1732855,,101,57078,595,,5,s2
Hao Wang,48016595,,101,56869,2748,,1,s2
Ling Shao,144082425,,122,56609,586,,2,s2
S. Nayar,1750470,,108,46109,363,,1,s2
F. Nie,144962210,,104,42786,715,,1,s2
Zhangyang Wang,2969311,,85,36323,374,,1,s2
Ke Chen,32811782,,87,35377,1182,,1,s2
Jiayi Ma,8555475,,89,35014,273,,1,s2
Qingming Huang,1689702,,84,33376,650,,2,s2
Ying Chen,47558464,China Agricultural University,73,31960,1793,https://www.researchgate.net/profile/Ying-Chen-216,1,s2
Alejandro F Frangi,1681129,The University of Manchester,74,31423,685,www.cistib.org/afrangi,1,s2
K. Zhang,144110274,,41,31296,65,,1,s2
Deyu Meng,1803714,,78,31231,294,,1,s2
H. Fu,1929093,,82,30265,270,,2,s2
X. Wang,47119537,,81,29717,1267,,1,s2
Jianbing Shen,145953515,,88,29602,258,,2,s2
Qionghai Dai,144954808,,92,28231,717,,1,s2
W. Zhang,143715293,,75,26667,1343,,1,s2
Junchi Yan,3063894,,73,24722,358,,1,s2
Hao Chen,36620472,The Hong Kong University of Science and Technology,63,23986,481,https://scholar.google.com.hk/citations?user=Z_t5DjwAAAAJ,1,s2
Houqiang Li,2108508109,,78,23746,491,,1,s2
Xiaoming Liu,2108960018,Michigan State University,70,22318,188,https://www.cse.msu.edu/~liuxm/index2.html,1,s2
B. Jalali,48368645,,63,22311,658,,1,s2
M. Do,1834451,,60,22191,287,,1,s2
Fan Wang,49451350,,72,22092,784,,1,s2
Chi-Wing Fu,144856288,,66,21524,222,,2,s2
Guangtao Zhai,144826390,,74,21323,539,,4,s2
Yulun Zhang,2410227,ETH Zurich,45,21107,92,http://yulunzhang.com/,2,s2
Wen-gang Zhou,38272296,,71,20534,389,,1,s2
Feng Wu,144864333,University of Science and Technology of China,63,20429,710,http://staff.ustc.edu.cn/~wufeng02/,1,s2
Jiaying Liu,41127426,,63,20392,255,,4,s2
Zhengjun Zha,143962510,,79,19640,412,,1,s2
A. Kot,1711097,,64,19048,441,,2,s2
W. Heidrich,1752192,,68,18811,328,,2,s2
Wenqi Ren,144850642,,55,17977,126,,2,s2
Z. Li,1700892,,54,17849,868,,1,s2
Xiaojie Guo,33465926,,51,17562,247,,1,s2
Xiaoqiang Lu,7828998,,63,17454,194,,1,s2
Junjun Jiang,1708439,,57,17419,187,,1,s2
Fabio Remondino,2515916,,62,17160,399,,1,s2
Chongyi Li,2698424,,48,16649,87,,4,s2
Y. Qiao,145858545,,60,16586,203,,1,s2
Wenhan Yang,1898172,,55,16585,174,,8,s2
Yicong Zhou,3049217,Tufts University; University of Macau,63,15894,305,https://www.fst.um.edu.mo/personal/yicongzhou/,1,s2
Dengxin Dai,1778526,,58,15711,155,,2,s2
T. Moeslund,1700569,,55,15186,593,,1,s2
S. Agaian,8973902,,47,14605,765,,2,s2
Gang Li,143736623,Nanjing University of Science and Technology,59,14331,576,https://scholar.google.com/citations?view_op=list_works&hl=en&user=hrUHmEQAAAAJ&gmla=AJsN-F7qwBhvDYKwW56QfqLIG8UwJivbZlXEflqgr38dbj7ThGhMQl3jN5YnFSHNpqtRUk4nQE91KZpjhoys-hXdLGGmdp2GQoA5qUuZcS2j571OYWRy68g,1,s2
D. Brady,1741299,,57,14331,485,,1,s2
Risheng Liu,34469457,,52,13923,235,,7,s2
Guo-Jun Qi,2272096,,59,13916,194,,1,s2
Wei Chen,2283009,Leiden institute of advanced computer science,56,13892,675,,1,s2
Xinghao Ding,2713947,,56,13880,242,,1,s2
Guy Hoffman,145666784,,50,13846,155,,1,s2
Peng Gao,144740494,,44,13769,67,https://gaopengpjlab.github.io/,2,s2
Jiang Liu,38620434,,53,13693,317,,1,s2
L. Li,37498905,,45,13456,597,,1,s2
Junhui Hou,40630305,,51,13256,223,,1,s2
R. Tan,1726720,,47,12841,151,,1,s2
Derui Ding,1795716,,59,12821,210,,1,s2
Bo Dai,144445937,,50,12799,152,,1,s2
Kun Xu,144968846,,56,12798,570,,1,s2
Huadong Ma,144258295,,53,12638,468,,1,s2
Xiongkuo Min,2246414,,51,12533,436,,4,s2
Debin Zhao,1725937,,55,12368,417,,1,s2
Qifeng Chen,143832240,HKUST,44,11968,97,https://cqf.io,1,s2
Ying Tai,144970872,,44,11929,96,,1,s2
Ling-yu Duan,7667912,,53,11907,262,,1,s2
Kede Ma,2233269,,40,11841,84,,1,s2
T. Harada,1790553,,44,11741,260,,1,s2
Yue Huang,1950637,,46,11488,229,,2,s2
Zhiwen Yu,2256618,,51,11285,525,,2,s2
Xueyang Fu,3061449,,48,11212,105,,3,s2
Junyu Dong,1964397,,54,10998,479,,1,s2
Kai-Kuang Ma,10212005,,39,10778,222,,1,s2
Bin Guo,145066132,,49,10603,372,,1,s2
H. Yao,1720100,,48,10557,377,,1,s2
Youfang Lin,2624174,,36,10544,132,,1,s2
Y. Qiao,2059129841,,30,10349,46,,2,s2
Chunle Guo,18158517,,27,10217,56,,5,s2
R. Schettini,143940718,,48,10200,427,,1,s2
Yuming Fang,4639656,,53,9999,231,,1,s2
G. Slabaugh,7622560,,43,9828,355,,1,s2
Zhongyuan Wang,38655501,,47,9647,281,,2,s2
