citing_paper_id,doi,title,year,venue,authors_raw,authors_detail
e0ec3e2eaf2c091fcc95f54749f2a1419c63263e,10.1109/icip61757.2026.11630294,SPIM-FUSE: Sparsely-Coded Image Fusion for Low-Light Enhancement,2026,International Conference on Information Photonics,Sena Yagmur Sen; Gazihan Alankus; Mehmet Turkan,"[{""id"": ""122478756"", ""name"": ""Sena Yagmur Sen"", ""source"": ""s2""}, {""id"": ""2734839"", ""name"": ""Gazihan Alankus"", ""source"": ""s2""}, {""id"": ""70031922"", ""name"": ""Mehmet Turkan"", ""source"": ""s2""}]"
ad8afccbec3dc798ec11eb2192307b3f77a47c8b,10.1109/JIOT.2026.3701729,ViD-EnlightenGAN: A Temporally Aware GAN for Unsupervised Low-Light Video Enhancement,2026,IEEE Internet of Things Journal,Heng Zhang; Yijie Xue; Yanli Liu; Yiwen Ye; Hao Jiang; Feng Shu; Zhimin Chen,"[{""id"": ""40940525"", ""name"": ""Heng Zhang"", ""source"": ""s2""}, {""id"": ""100551091"", ""name"": ""Yijie Xue"", ""source"": ""s2""}, {""id"": ""2108202965"", ""name"": ""Yanli Liu"", ""source"": ""s2""}, {""id"": ""2170220899"", ""name"": ""Yiwen Ye"", ""source"": ""s2""}, {""id"": ""2292414930"", ""name"": ""Hao Jiang"", ""source"": ""s2""}, {""id"": ""2363573892"", ""name"": ""Feng Shu"", ""source"": ""s2""}, {""id"": ""2111354272"", ""name"": ""Zhimin Chen"", ""source"": ""s2""}]"
2558070b1c2e5b9cf3a867d3a9d70eaa7f814062,,Bright-Channel Retinex Enhancement with a Conditional Overdispered-Noise Analysis,2026,,Jongpil Jeong,"[{""id"": ""2314526962"", ""name"": ""Jongpil Jeong"", ""source"": ""s2""}]"
d7665fb470327d388cbebbbbfb4143908445c2cd,,UBLLIE: Unified Backlight and Low-Light Image Enhancement,2026,,Yasmin Yasin; Muhammad Usman; Ibrahim Radwan; Saeed Anwar,"[{""id"": ""2237025751"", ""name"": ""Yasmin Yasin"", ""source"": ""s2""}, {""id"": ""2223436301"", ""name"": ""Muhammad Usman"", ""source"": ""s2""}, {""id"": ""2363859773"", ""name"": ""Ibrahim Radwan"", ""source"": ""s2""}, {""id"": ""2297845544"", ""name"": ""Saeed Anwar"", ""source"": ""s2""}]"
94b12640c1ef5a6f3586a4529d1bb99a729eac58,10.1007/s44443-026-01095-6,UAV-LIENet: a low-light UAV image enhancement network via illumination estimation and guidance,2026,Journal of King Saud University: Computer and Information Sciences,Yueqing Kang; Ruitao Lu; Xiaogang Yang; Zhenhao Cheng; Zhanhong Zhuo; Jiwei Fan,"[{""id"": ""2457732225"", ""name"": ""Yueqing Kang"", ""source"": ""s2""}, {""id"": ""2312758587"", ""name"": ""Ruitao Lu"", ""source"": ""s2""}, {""id"": ""2275298208"", ""name"": ""Xiaogang Yang"", ""source"": ""s2""}, {""id"": ""2152159726"", ""name"": ""Zhenhao Cheng"", ""source"": ""s2""}, {""id"": ""2358272273"", ""name"": ""Zhanhong Zhuo"", ""source"": ""s2""}, {""id"": ""3079153"", ""name"": ""Jiwei Fan"", ""source"": ""s2""}]"
12f83d029aa039d41c997f3e0ab52618fe17298b,10.3389/frai.2026.1858540,PSO-based parameter optimization of intuitionistic fuzzy generator for low-light image enhancement,2026,Frontiers in Artificial Intelligence,U. S.; J. S.,"[{""id"": ""2446810280"", ""name"": ""U. S."", ""source"": ""s2""}, {""id"": ""2438514864"", ""name"": ""J. S."", ""source"": ""s2""}]"
0024e561025f20a598f477407646ec2bda40bdab,,Thresholded Cross-Attention for Reliable Intensity-Chromaticity Fusion in Low-Light Image Enhancement,2026,,Yanyi Wu; Xu Zhang; Junkai Chen; Laibin Chang; Jiaqi Ma; Shi Chen; Linwei Zhu; Jianglei Di; Huan Zhang,"[{""id"": ""2450169397"", ""name"": ""Yanyi Wu"", ""source"": ""s2""}, {""id"": ""2309775557"", ""name"": ""Xu Zhang"", ""source"": ""s2""}, {""id"": ""2450191207"", ""name"": ""Junkai Chen"", ""source"": ""s2""}, {""id"": ""2121619327"", ""name"": ""Laibin Chang"", ""source"": ""s2""}, {""id"": ""2386165627"", ""name"": ""Jiaqi Ma"", ""source"": ""s2""}, {""id"": ""2352985671"", ""name"": ""Shi Chen"", ""source"": ""s2""}, {""id"": ""1969075"", ""name"": ""Linwei Zhu"", ""source"": ""s2""}, {""id"": ""2344127381"", ""name"": ""Jianglei Di"", ""source"": ""s2""}, {""id"": ""2317142984"", ""name"": ""Huan Zhang"", ""source"": ""s2""}]"
2ac225ed6edb52c70ac924908af73695c47b7ef9,10.1109/TIP.2026.3709463,Probabilistic-Based Learning for Joint Light Field Image Compression and Enhancement Under Low-Light Conditions,2026,IEEE Transactions on Image Processing,Deyang Liu; Jimin Wang; Yifan Mao; Mounir Kaaniche; Xiaofei Zhou; Gangyi Jiang; Caifeng Shan,"[{""id"": ""2267870621"", ""name"": ""Deyang Liu"", ""source"": ""s2""}, {""id"": ""2265361368"", ""name"": ""Jimin Wang"", ""source"": ""s2""}, {""id"": ""2117694584"", ""name"": ""Yifan Mao"", ""source"": ""s2""}, {""id"": ""2368358126"", ""name"": ""Mounir Kaaniche"", ""source"": ""s2""}, {""id"": ""2142867508"", ""name"": ""Xiaofei Zhou"", ""source"": ""s2""}, {""id"": ""2250176767"", ""name"": ""Gangyi Jiang"", ""source"": ""s2""}, {""id"": ""2335875287"", ""name"": ""Caifeng Shan"", ""source"": ""s2""}]"
500ae7ee37662ef23a6ac4a9ba77340186a8b0cd,10.1016/j.neucom.2026.133613,Integration of KAN with an enhanced multi-scale mamba architecture for low-light image enhancement,2026,Neurocomputing,Jin Chen; Lei Wang; Yimei Zhang; Jintao Yu,"[{""id"": ""2108461272"", ""name"": ""Jin Chen"", ""source"": ""s2""}, {""id"": ""2273651306"", ""name"": ""Lei Wang"", ""source"": ""s2""}, {""id"": ""2408353005"", ""name"": ""Yimei Zhang"", ""source"": ""s2""}, {""id"": ""2151482846"", ""name"": ""Jintao Yu"", ""source"": ""s2""}]"
fc0d6115c1d3e1806339eaef3b79cdac03d0e559,10.1016/j.knosys.2026.116205,Unleashing the potential of Mamba: A novel approach for low-light image enhancement,2026,Knowledge-Based Systems,Ge Wang; Yong Ma; Jun Huang; You Du; Fan Fan; Zhiqing Zhao; Yi Lu,"[{""id"": ""2296241759"", ""name"": ""Ge Wang"", ""source"": ""s2""}, {""id"": ""2291680328"", ""name"": ""Yong Ma"", ""source"": ""s2""}, {""id"": ""2118226234"", ""name"": ""Jun Huang"", ""source"": ""s2""}, {""id"": ""2217235724"", ""name"": ""You Du"", ""source"": ""s2""}, {""id"": ""40513331"", ""name"": ""Fan Fan"", ""source"": ""s2""}, {""id"": ""2307016443"", ""name"": ""Zhiqing Zhao"", ""source"": ""s2""}, {""id"": ""2398722320"", ""name"": ""Yi Lu"", ""source"": ""s2""}]"
c3832c68ac3cceb4105af2e6cf4fdb5a11cd112a,10.1007/s00371-026-04587-8,Diffusion-guided knowledge absorption for robust object detection under rainy night conditions,2026,The Visual Computer,Q. Hoang; Trung-Hieu Le,"[{""id"": ""2269652471"", ""name"": ""Q. Hoang"", ""source"": ""s2""}, {""id"": ""46230648"", ""name"": ""Trung-Hieu Le"", ""source"": ""s2""}]"
