author_name,appears_in,affiliation,author_id
Yiming Li,W3042368254;W3133575190;W3093403688,Tsinghua–Berkeley Shenzhen Institute,https://openalex.org/A5100346332
Yong Jiang,W3042368254;W3133575190;W3093403688,Tsinghua–Berkeley Shenzhen Institute,https://openalex.org/A5101626204
Zhifeng Li,W3042368254,Tencent (China),https://openalex.org/A5100634431
Shu‐Tao Xia,W3042368254;W4386076050;W3133575190;W3093403688;W3200389817,Tsinghua–Berkeley Shenzhen Institute,https://openalex.org/A5034104790
Lingjuan Lyu,W3111919937;W4388867373;W4385573287;W3121478722;W3123680815,Sony Computer Science Laboratories,https://openalex.org/A5052577882
Han Yu,W3111919937,Nanyang Technological University,https://openalex.org/A5064069283
Xingjun Ma,W3111919937;W4378976916;W4386071958;W4385573287;W4285428780;W4413966860;W3121478722;W3119278161;W3123680815;W3121355610;W4395098191,Fudan University,https://openalex.org/A5078711649
Chen Chen,W3111919937,Sony Computer Science Laboratories,https://openalex.org/A5114973667
Lichao Sun,W3111919937;W4225004701;W4285428780,Lehigh University,https://openalex.org/A5015105117
Jun Zhao,W3111919937,Nanyang Technological University,https://openalex.org/A5071321132
Qiang Yang,W3111919937,Hong Kong University of Science and Technology,https://openalex.org/A5100636286
Philip S. Yu,W3111919937,University of Illinois Chicago,https://openalex.org/A5036357902
Bao Gia Doan,W2971661634;W4408566142;W3044223678,The University of Adelaide,https://openalex.org/A5070336991
Ehsan Abbasnejad,W2971661634;W4408566142,The University of Adelaide,https://openalex.org/A5058061726
Damith C. Ranasinghe,W2971661634;W4408566142,The University of Adelaide,https://openalex.org/A5048703299
Ahmed Salem,W3010216907;W3213814821,Microsoft Research (United Kingdom),https://openalex.org/A5070409088
Rui Wen,W3010216907,Helmholtz Center for Information Security,https://openalex.org/A5057596386
Michael Backes,W3010216907;W3213814821,Helmholtz Center for Information Security,https://openalex.org/A5004014878
Shiqing Ma,W3010216907;W3114838227;W4312329299;W4312329503;W4288057740;W4386066154;W4312877401;W4324007922;W4391725293;W4402264202;W4403905746;W3136316983,Rutgers Sexual and Reproductive Health and Rights,https://openalex.org/A5101594068
Yang Zhang,W3010216907;W3213814821,Helmholtz Center for Information Security,https://openalex.org/A5100354608
Yi Zeng,W4388867373,Virginia Tech,https://openalex.org/A5101572925
Minzhou Pan,W4388867373,Virginia Tech,https://openalex.org/A5054374869
Hoang Anh Just,W4388867373,Virginia Tech,https://openalex.org/A5082453482
Meikang Qiu,W4388867373,Augusta University,https://openalex.org/A5083330935
Ruoxi Jia,W4388867373;W3206773754,Virginia Tech,https://openalex.org/A5032275274
Fanchao Qi,W3109409894;W3176270593;W3175052694;W4285195959;W3164361025;W3166984094;W3213398289,Center for Information Technology,https://openalex.org/A5030183493
Yangyi Chen,W3109409894;W3213398289,Center for Information Technology,https://openalex.org/A5023116787
Mukai Li,W3109409894;W3213398289,Center for Information Technology,https://openalex.org/A5003171356
Yuan Yao,W3109409894;W3175052694;W3166984094;W3213398289,Center for Information Technology,https://openalex.org/A5101868311
Zhiyuan Liu,W3109409894;W3176270593;W3175052694;W4285195959;W3164361025;W3166984094;W3213398289,Center for Information Technology,https://openalex.org/A5100320723
Maosong Sun,W3109409894,Center for Information Technology,https://openalex.org/A5063212818
Mukai Li,W3176270593;W3164361025,Center for Information Technology,https://openalex.org/A5003512251
Yangyi Chen,W3176270593;W3164361025,Center for Information Technology,https://openalex.org/A5082962646
Zhengyan Zhang,W3176270593;W3164361025,Center for Information Technology,https://openalex.org/A5101584823
Yasheng Wang,W3176270593;W3164361025,Huawei Technologies (Sweden),https://openalex.org/A5115592503
Maosong Sun,W3176270593;W3175052694;W4285195959;W3164361025;W3166984094;W3213398289,Center for Information Technology,https://openalex.org/A5046448314
Jinyuan Jia,W3189812816;W4389612580;W3210907555,Duke University,https://openalex.org/A5101997385
Yupei Liu,W3189812816,Duke University,https://openalex.org/A5041585602
Neil Zhenqiang Gong,W3189812816;W4389612580;W3210907555,Duke University,https://openalex.org/A5009102659
Antonio Emanuele Ciná,W4322736917,Ca' Foscari University of Venice,https://openalex.org/A5031868744
Kathrin Grosse,W4322736917,École Polytechnique Fédérale de Lausanne,https://openalex.org/A5018930655
Ambra Demontis,W4322736917,University of Cagliari,https://openalex.org/A5005227623
Sebastiano Vascon,W4322736917,Ca' Foscari University of Venice,https://openalex.org/A5055143299
Werner Zellinger,W4322736917,Software Competence Center Hagenberg (Austria),https://openalex.org/A5065837185
Bernhard A. Moser,W4322736917,Software Competence Center Hagenberg (Austria),https://openalex.org/A5102709587
Alina Oprea,W4322736917;W3037974410,Northeastern University,https://openalex.org/A5035574749
Battista Biggio,W4322736917,University of Cagliari,https://openalex.org/A5008367647
Marcello Pelillo,W4322736917,Ca' Foscari University of Venice,https://openalex.org/A5088359990
Fabio Roli,W4322736917,University of Genoa,https://openalex.org/A5065359946
Siyuan Cheng,W3114838227;W4402727117;W4386072179,Purdue University West Lafayette,https://openalex.org/A5082123414
Yingqi Liu,W3114838227;W4312329503;W4288057740;W4386066154;W4288057770;W4312877401;W4402727117;W4386072179;W3136316983,Purdue University West Lafayette,https://openalex.org/A5080886129
Xiangyu Zhang,W3114838227;W4312329503;W4288057740;W4312877401;W3136316983,Purdue University West Lafayette,https://openalex.org/A5100362465
Jie Zhang,W3188772578,University of Science and Technology of China,https://openalex.org/A5100436740
Dongdong Chen,W3188772578,Microsoft (United States),https://openalex.org/A5100364587
Qidong Huang,W3188772578,University of Science and Technology of China,https://openalex.org/A5058616951
Jing Liao,W3188772578,City University of Hong Kong,https://openalex.org/A5013972536
Weiming Zhang,W3188772578;W4308061333,University of Science and Technology of China,https://openalex.org/A5067689180
Huamin Feng,W3188772578,Beijing Electronic Science and Technology Institute,https://openalex.org/A5109860620
Gang Hua,W3188772578;W4386071506;W4395056508,,https://openalex.org/A5081114810
