author_name,appears_in,affiliation,author_id
Yiming Li,W3042368254;W3133575190;W3093403688,Tsinghua–Berkeley Shenzhen Institute,https://openalex.org/A5100346332
Yong Jiang,W3042368254;W3133575190;W3093403688,Tsinghua–Berkeley Shenzhen Institute,https://openalex.org/A5101626204
Zhifeng Li,W3042368254,Tencent (China),https://openalex.org/A5100634431
Shu‐Tao Xia,W3042368254;W4386076050;W3133575190;W3093403688;W3200389817,Tsinghua–Berkeley Shenzhen Institute,https://openalex.org/A5034104790
Xingjun Ma,W3111919937;W4378976916;W4386071958;W4385573287;W4285428780;W4413966860;W3121478722;W3119278161;W3123680815;W3121355610;W4395098191,Fudan University,https://openalex.org/A5078711649
Qiang Yang,W3111919937,Hong Kong University of Science and Technology,https://openalex.org/A5100636286
Jie Zhang,W3188772578,University of Science and Technology of China,https://openalex.org/A5100436740
Qidong Huang,W3188772578,University of Science and Technology of China,https://openalex.org/A5058616951
Weiming Zhang,W3188772578;W4308061333,University of Science and Technology of China,https://openalex.org/A5067689180
Huamin Feng,W3188772578,Beijing Electronic Science and Technology Institute,https://openalex.org/A5109860620
Nenghai Yu,W3188772578,University of Science and Technology of China,https://openalex.org/A5064573190
Yu Feng,W4312280786;W3215689752,Northwestern Polytechnical University,https://openalex.org/A5046533227
Benteng Ma,W4312280786;W4407507713;W3215689752,Northwestern Polytechnical University,https://openalex.org/A5060034830
Shanshan Zhao,W4312280786;W3215689752,Jingdong (China),https://openalex.org/A5069429555
Yong Xia,W4312280786;W4407507713;W3215689752,Northwestern Polytechnical University,https://openalex.org/A5100670074
Yuan Yao,W4312569687;W4393158745;W3217308368,Nanjing University,https://openalex.org/A5068643894
Feng Xu,W4312569687;W3217308368,Nanjing University,https://openalex.org/A5071461704
Wenkai Yang,W3167002899;W3173784240;W3207360435;W3159803443;W3213642548,Peking University,https://openalex.org/A5053365003
Lei Li,W3167002899;W3159803443,Peking University,https://openalex.org/A5100440407
Zhiyuan Zhang,W3167002899;W4385573287,Peking University,https://openalex.org/A5015455705
Xuancheng Ren,W3167002899;W3159803443,Peking University,https://openalex.org/A5049239373
Xu Sun,W3167002899;W3173784240,Peking University,https://openalex.org/A5101441137
Bin He,W3167002899;W3159803443,Peking University,https://openalex.org/A5101946076
Wenbo Jiang,W4386083011;W4396982204;W4293812146;W4413786017;W4405741930;W4408352149;W4417073179,University of Electronic Science and Technology of China,https://openalex.org/A5066542952
Hongwei Li,W4386083011;W4396982204;W4293812146;W4413786017;W4405741930;W4408324270;W4407693487;W4414535368;W7129048650;W4417073179,University of Electronic Science and Technology of China,https://openalex.org/A5100325334
Zhendong Zhao,W4312700692,Chinese Academy of Sciences,https://openalex.org/A5041204026
Xiaojun Chen,W4312700692,Chinese Academy of Sciences,https://openalex.org/A5100369438
Yuexin Xuan,W4312700692,Chinese Academy of Sciences,https://openalex.org/A5074107460
Ye Dong,W4312700692,Chinese Academy of Sciences,https://openalex.org/A5101239059
Dakui Wang,W4312700692,Chinese Academy of Sciences,https://openalex.org/A5102783832
Yankai Lin,W3173784240;W3207360435;W3213642548,Tencent (China),https://openalex.org/A5043098453
Jie Zhou,W3173784240;W3207360435,Tencent (China),https://openalex.org/A5100770462
Runkai Zheng,W4313192591,"Chinese University of Hong Kong, Shenzhen",https://openalex.org/A5021347960
Rongjun Tang,W4313192591,"Chinese University of Hong Kong, Shenzhen",https://openalex.org/A5045255048
Xu Sun,W3207360435,Peking University,https://openalex.org/A5006497264
Kuofeng Gao,W4386076050;W3200389817,Tsinghua University,https://openalex.org/A5038862367
Yang Bai,W4386076050,Tencent (China),https://openalex.org/A5044963450
Yong Yang,W4386076050,Tencent (China),https://openalex.org/A5100609598
Yinpeng Dong,W4320736757;W3138646989,Beijing Academy of Artificial Intelligence,https://openalex.org/A5068755794
Jun Zhu,W4320736757;W3138646989,Beijing Academy of Artificial Intelligence,https://openalex.org/A5100686240
Xiaolu Zhang,W4320736757,Zhejiang Financial College,https://openalex.org/A5100746437
Jun Zhou,W4320736757,Zhejiang Financial College,https://openalex.org/A5045140292
Hewang Nie,W4390658962;W7162341703,Huazhong University of Science and Technology,https://openalex.org/A5051783170
Songfeng Lu,W4390658962,Huazhong University of Science and Technology,https://openalex.org/A5048196007
Junjun Wu,W4390658962,Huazhong University of Science and Technology,https://openalex.org/A5100460435
Zhu Jian-xin,W4390658962,Huazhong University of Science and Technology,https://openalex.org/A5100523132
Jiwei Li,W4304091855;W3215700529,Zhejiang University,https://openalex.org/A5100758099
Zaixi Zhang,W4386072159,University of Science and Technology of China,https://openalex.org/A5063733770
Qi Liu,W4386072159,University of Science and Technology of China,https://openalex.org/A5100453144
Zhicai Wang,W4386072159,University of Science and Technology of China,https://openalex.org/A5102971294
Zepu Lu,W4386072159,University of Science and Technology of China,https://openalex.org/A5069950706
Qingyong Hu,W4386072159,Hong Kong University of Science and Technology,https://openalex.org/A5036921959
Shaobo Zhang,W4404418444,Hunan University of Science and Technology,https://openalex.org/A5100657575
Yizhen Pan,W4404418444,Hunan University of Science and Technology,https://openalex.org/A5109521360
Qin Liu,W4404418444,Hunan University,https://openalex.org/A5100432505
Zheng Yan,W4404418444,Xidian University,https://openalex.org/A5078219471
Guojun Wang,W4404418444,Guangzhou University,https://openalex.org/A5100386726
Wenyuan Yang,W4388016531,Sun Yat-sen University,https://openalex.org/A5101619232
Shuo Shao,W4388016531,Zhejiang University,https://openalex.org/A5035753510
Yue Yang,W4388016531,Shanghai Jiao Tong University,https://openalex.org/A5100369313
Ying He,W4388206624,Nanjing University of Science and Technology,https://openalex.org/A5038314969
Zhili Shen,W4388206624,Nanjing University of Science and Technology,https://openalex.org/A5083813347
Jingyu Hua,W4388206624,Nanjing University,https://openalex.org/A5101950654
Qixuan Dong,W4388206624,Nanjing University of Science and Technology,https://openalex.org/A5103257772
